BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201507,1,0,201507,31,2359,99295,596272,"CALIFORNIA",6,2015,"July","Drought","Z",99,"SE KERN CTY DESERT","HNX","01-JUL-15 00:00:00","PST-8","31-JUL-15 23:59:00","0","0","0","0","0.00K","0.00K","Emergency Manager",,,,,,,,,,,,,,,,,,,,,,"The California drought continues in full force during the month of July, 2015. Temperatures continued to average above normal. July was a good month for precipitation as there were multiple monsoonal and tropical influxes of moisture into the area. However, this wasn't nearly enough to impact the drought situation. Rainfall totals for Fresno received 0.43 of an inch of rain, while Bakersfield received 0.04 inches. ||The U.S. Drought Monitor continued to report exceptional drought conditions across the entire Central California region. This extent of exceptional drought is extremely unusual for California. The 2013-2014 water year (July 1 - June 30) concluded with Fresno setting its second driest on record (4.81 inches) and Bakersfield setting its third driest (2.41 inches). For the calendar year, 2014 was the warmest year on record for Fresno and Bakersfield. The general trend of below normal precipitation and above normal temperatures has continued this year. ||There continues to be significant media coverage on the on-going drought conditions. These reports include discussion of significant re-allocation of water resources from the east to west side of the San Joaquin Valley, farmers forgoing planting of some crops, a decrease in the snow-related tourism activity in the Southern Sierra Nevada, reduction in air quality due to persistent stagnant air, loss or reduction of ground water, wells drying up in several communities leaving them with no water, and an unprecedented increase in fire danger across the Southern Sierra Nevada and Tehachapi Mountains. Also, communities in Central California interior face state mandated reductions in municipal water use.","","CSV"
201507,18,1415,201507,18,1600,99300,596296,"CALIFORNIA",6,2015,"July","Flash Flood","C",29,"KERN","HNX","18-JUL-15 14:15:00","PST-8","18-JUL-15 16:00:00","0","0","0","0","0.00K","0.00K","Unknown",,,"Heavy Rain",,,,,,,,,"2","W","CANTIL","2","W","CANTIL","35.3055","-118.0078","35.3013","-118.0082","Tropical moisture from the remnants of Hurricane Dolores and a monsoonal fetch of moisture streamed into southern and central California during the time period. This brought deep moisture into the area which resulted in moderate to heavy rainfall across most of the southern San Joaquin Valley and nearly all of Kern County.","Flooding was reported near state road 14 near Jawbone Canyon road.","CSV"
201507,18,1425,201507,18,1500,99300,596298,"CALIFORNIA",6,2015,"July","Flash Flood","C",29,"KERN","HNX","18-JUL-15 14:25:00","PST-8","18-JUL-15 15:00:00","0","0","0","0","0.00K","0.00K","Unknown",,,"Heavy Rain / Tropical System",,,,,,,,,"1","WSW","GARLOCK","1","WSW","GARLOCK","35.3938","-117.798","35.3932","-117.7989","Tropical moisture from the remnants of Hurricane Dolores and a monsoonal fetch of moisture streamed into southern and central California during the time period. This brought deep moisture into the area which resulted in moderate to heavy rainfall across most of the southern San Joaquin Valley and nearly all of Kern County.","Debris and water was reported as moving across the intersection of Garlock road and Redrock Randsburg road.","CSV"
201507,18,1715,201507,18,1930,99300,596299,"CALIFORNIA",6,2015,"July","Flash Flood","C",29,"KERN","HNX","18-JUL-15 17:15:00","PST-8","18-JUL-15 19:30:00","0","0","0","0","0.00K","0.00K","Emergency Manager",,,"Heavy Rain / Tropical System",,,,,,,,,"2","W","FRAZIER PARK","2","W","FRAZIER PARK","34.8213","-118.9891","34.8141","-118.9878","Tropical moisture from the remnants of Hurricane Dolores and a monsoonal fetch of moisture streamed into southern and central California during the time period. This brought deep moisture into the area which resulted in moderate to heavy rainfall across most of the southern San Joaquin Valley and nearly all of Kern County.","Debris flow from over one inch of rain in less than a hour over the Grand Fire burn scar area produced mud blocking the road between Frazier Park and Lake of the Woods.","CSV"
201507,23,2225,201507,23,2225,97216,584628,"NORTH DAKOTA",38,2015,"July","Thunderstorm Wind","C",3,"BARNES","FGF","23-JUL-15 22:25:00","CST-6","23-JUL-15 22:25:00","0","0","0","0",,,"Public","50.00","EG",,,,,,,,,,"1","S","SANBORN","1","S","SANBORN","46.93","-98.22","46.93","-98.22","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","Several four inch diameter tree branches were blown down.","CSV"
201507,23,2250,201507,23,2250,97216,584629,"NORTH DAKOTA",38,2015,"July","Thunderstorm Wind","C",97,"TRAILL","FGF","23-JUL-15 22:50:00","CST-6","23-JUL-15 22:50:00","0","0","0","0",,,"Public","53.00","MG",,,,,,,,,,"3","ENE","TAFT","3","ENE","TAFT","47.47","-97.02","47.47","-97.02","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","The wind gust was measured by a Davis mesonet station.","CSV"
201507,23,2300,201507,23,2300,97216,584635,"NORTH DAKOTA",38,2015,"July","Thunderstorm Wind","C",97,"TRAILL","FGF","23-JUL-15 23:00:00","CST-6","23-JUL-15 23:00:00","0","0","0","0",,,"Broadcast Media","55.00","EG",,,,,,,,,,"4","N","TAFT","4","N","TAFT","47.51","-97.08","47.51","-97.08","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","Two fifteen to twenty foot tall trees were blown down in Cummings.","CSV"
201507,23,2310,201507,23,2310,97216,584637,"NORTH DAKOTA",38,2015,"July","Thunderstorm Wind","C",17,"CASS","FGF","23-JUL-15 23:10:00","CST-6","23-JUL-15 23:10:00","0","0","0","0",,,"Social Media","55.00","EG",,,,,,,,,,"1","N","HUNTER","1","N","HUNTER","47.19","-97.22","47.19","-97.22","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","A tree was blown over.","CSV"
201507,23,2319,201507,23,2319,97216,584638,"NORTH DAKOTA",38,2015,"July","Thunderstorm Wind","C",17,"CASS","FGF","23-JUL-15 23:19:00","CST-6","23-JUL-15 23:19:00","0","0","0","0",,,"Mesonet","56.00","MG",,,,,,,,,,"1","SE","HUNTER","1","SE","HUNTER","47.17","-97.2","47.17","-97.2","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","The peak wind was measured by a personal weather station.","CSV"
201507,23,2330,201507,23,2330,97219,584639,"MINNESOTA",27,2015,"July","Thunderstorm Wind","C",107,"NORMAN","FGF","23-JUL-15 23:30:00","CST-6","23-JUL-15 23:30:00","0","0","0","0",,,"Social Media","55.00","EG",,,,,,,,,,"1","SE","SHELLY","1","SE","SHELLY","47.46","-96.82","47.46","-96.82","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","Roofs were damaged and trees were blown down.","CSV"
201507,23,2330,201507,23,2330,97219,584640,"MINNESOTA",27,2015,"July","Thunderstorm Wind","C",107,"NORMAN","FGF","23-JUL-15 23:30:00","CST-6","23-JUL-15 23:30:00","0","0","0","0",,,"Public","60.00","EG",,,,,,,,,,"2","E","HADLER","2","E","HADLER","47.37","-96.51","47.37","-96.51","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","A shed was damaged and numerous trees were blown down.","CSV"
201507,23,2340,201507,23,2340,97219,584641,"MINNESOTA",27,2015,"July","Thunderstorm Wind","C",119,"POLK","FGF","23-JUL-15 23:40:00","CST-6","23-JUL-15 23:40:00","0","0","0","0",,,"Public","60.00","EG",,,,,,,,,,"1","NE","MAPLE BAY","1","NE","MAPLE BAY","47.64","-96.22","47.64","-96.22","Thunderstorms formed along a cold front during the evening hours of July 23rd. These storms produced large hail, strong winds, and a few tornadoes.","A boat lift was flipped over.","CSV"
